PRODUCT_LINE,GENDER,AGE,MARITAL_STATUS,PROFESSION
Money Market Account,M,40,Married,Trades
Credit Card,M,40,Married,Trades
Checking Account,F,34,Single,Professional
Checking Account,F,34,Single,Professional
Checking Account,M,27,Single,Other
Money Market Account,M,27,Single,Other
Checking Account,M,27,Single,Other
Money Market Account,M,27,Single,Other
Money Market Account,M,23,Single,Professional
Money Market Account,M,23,Single,Professional
Checking Account,F,28,Single,Other
Checking Account,F,28,Single,Other
Money Market Account,F,49,Married,Executive
Money Market Account,F,49,Married,Executive
Money Market Account,M,26,Single,Other
Money Market Account,M,26,Single,Other
Money Market Account,M,26,Single,Other
Personal Loan,F,24,Single,Other
Personal Loan,F,24,Single,Other
Personal Loan,F,24,Single,Other
Personal Loan,F,24,Single,Other
Personal Loan,F,24,Single,Other
Personal Loan,F,24,Single,Other
Checking Account,F,67,Unspecified,Hospitality
Checking Account,F,67,Unspecified,Hospitality
Personal Loan,F,41,Unspecified,Sales
Checking Account,F,41,Unspecified,Sales
Personal Loan,F,41,Unspecified,Sales
Personal Loan,F,41,Unspecified,Sales
Personal Loan,M,24,Single,Student
Personal Loan,M,24,Single,Student
Checking Account,F,28,Single,Professional
Checking Account,F,28,Single,Professional
Money Market Account,M,19,Single,Other
Money Market Account,M,19,Single,Other
Money Market Account,M,19,Single,Other
Personal Loan,F,25,Married,Other
Personal Loan,F,25,Married,Other
Personal Loan,F,25,Married,Other
Checking Account,F,32,Single,Other
Checking Account,F,32,Single,Other
Money Market Account,M,23,Single,Other
Money Market Account,M,23,Single,Other
Money Market Account,M,23,Single,Other
Money Market Account,M,23,Single,Other
Money Market Account,M,20,Single,Executive
Checking Account,M,20,Single,Executive
Money Market Account,M,20,Single,Executive
Checking Account,M,29,Single,Other
Money Market Account,M,29,Single,Other
Money Market Account,M,29,Single,Other
Money Market Account,M,29,Single,Other
Checking Account,M,35,Married,Other
Personal Loan,M,35,Married,Other
Personal Loan,M,35,Married,Other
Personal Loan,M,35,Married,Other
Money Market Account,M,35,Married,Other
Money Market Account,M,32,Single,Professional
Citigold,M,32,Single,Professional
Money Market Account,M,32,Single,Professional
Money Market Account,M,36,Married,Executive
Money Market Account,M,36,Married,Executive
Money Market Account,M,36,Married,Executive
Money Market Account,M,36,Married,Executive
Money Market Account,M,32,Married,Sales
Money Market Account,M,32,Married,Sales
Money Market Account,F,42,Married,Other
Money Market Account,F,42,Married,Other
Money Market Account,F,42,Married,Other
Money Market Account,F,42,Married,Other
Citigold,F,42,Married,Other
Money Market Account,M,38,Married,Sales
Money Market Account,M,38,Married,Sales
Money Market Account,M,33,Married,Trades
Money Market Account,M,33,Married,Trades
Checking Account,F,25,Single,Retail
Checking Account,F,25,Single,Retail
Checking Account,F,41,Married,Sales
Checking Account,F,41,Married,Sales
Credit Card,M,57,Unspecified,Other
Credit Card,M,57,Unspecified,Other
Credit Card,M,57,Unspecified,Other
Checking Account,F,67,Unspecified,Hospitality
Checking Account,F,67,Unspecified,Hospitality
Checking Account,F,26,Married,Executive
Checking Account,F,26,Married,Executive
Checking Account,F,26,Single,Other
Checking Account,F,26,Single,Other
Personal Loan,F,25,Single,Professional
Personal Loan,F,25,Single,Professional
Personal Loan,F,25,Single,Professional
Personal Loan,F,25,Single,Professional
Checking Account,F,25,Single,Professional
Money Market Account,M,43,Married,Executive
Personal Loan,M,43,Married,Executive
Checking Account,F,35,Married,Sales
Checking Account,F,35,Married,Sales
Personal Loan,F,35,Unspecified,Hospitality
Money Market Account,F,35,Unspecified,Hospitality
Checking Account,F,35,Unspecified,Hospitality
Checking Account,M,31,Married,Other
Personal Loan,M,31,Married,Other
Checking Account,M,31,Married,Other
Money Market Account,F,35,Married,Other
Money Market Account,F,35,Married,Other
Money Market Account,F,35,Married,Other
Citigold,F,35,Married,Other
Citigold,F,35,Married,Other
Checking Account,M,26,Single,Other
Money Market Account,M,26,Single,Other
Money Market Account,M,26,Single,Other
Money Market Account,M,23,Single,Trades
Money Market Account,M,23,Single,Trades
Money Market Account,M,23,Single,Trades
Personal Loan,M,39,Single,Executive
Personal Loan,M,39,Single,Executive
Money Market Account,M,39,Single,Executive
Personal Loan,M,39,Single,Executive
Personal Loan,M,39,Single,Executive
Checking Account,M,30,Single,Professional
Checking Account,M,30,Single,Professional
Money Market Account,M,30,Single,Professional
Money Market Account,F,36,Unspecified,Other
Citigold,F,36,Unspecified,Other
Money Market Account,M,29,Single,Trades
Personal Loan,M,29,Single,Trades
Money Market Account,F,39,Married,Executive
Money Market Account,F,39,Married,Executive
Money Market Account,F,39,Married,Executive
Money Market Account,F,39,Married,Executive
Personal Loan,M,23,Single,Student
Personal Loan,M,23,Single,Student
Personal Loan,M,23,Single,Student
Personal Loan,M,23,Single,Student
Money Market Account,F,22,Single,Other
Money Market Account,F,22,Single,Other
Money Market Account,F,22,Single,Other
Money Market Account,F,22,Single,Other
Money Market Account,M,30,Married,Executive
Money Market Account,M,30,Married,Executive
Checking Account,F,38,Single,Professional
Checking Account,F,38,Single,Professional
Checking Account,F,43,Married,Professional
Personal Loan,F,43,Married,Professional
Personal Loan,M,27,Single,Other
Personal Loan,M,27,Single,Other
Personal Loan,M,27,Single,Other
Money Market Account,F,28,Single,Professional
Checking Account,F,28,Single,Professional
Money Market Account,M,38,Unspecified,Sales
Personal Loan,M,38,Unspecified,Sales
Personal Loan,M,38,Unspecified,Sales
Money Market Account,M,38,Unspecified,Sales
Credit Card,M,38,Unspecified,Sales
Credit Card,M,38,Unspecified,Sales
Checking Account,F,36,Single,Professional
Checking Account,F,36,Single,Professional
Money Market Account,M,34,Married,Executive
Money Market Account,M,34,Married,Executive
Money Market Account,M,34,Married,Executive
Citigold,M,34,Married,Executive
Checking Account,F,22,Unspecified,Other
Personal Loan,F,22,Unspecified,Other
Money Market Account,M,20,Single,Sales
Money Market Account,M,20,Single,Sales
Money Market Account,M,20,Single,Sales
Checking Account,M,42,Unspecified,Trades
Personal Loan,M,42,Unspecified,Trades
Checking Account,M,41,Married,Other
Personal Loan,M,41,Married,Other
Checking Account,M,41,Married,Other
Money Market Account,F,46,Unspecified,Hospitality
Money Market Account,F,46,Unspecified,Hospitality
Money Market Account,F,46,Unspecified,Hospitality
Money Market Account,F,46,Unspecified,Hospitality
Checking Account,F,23,Single,Other
Checking Account,F,23,Single,Other
Personal Loan,M,45,Married,Other
Checking Account,M,45,Married,Other
Checking Account,M,45,Married,Other
Checking Account,F,20,Single,Other
Checking Account,F,20,Single,Other
Money Market Account,F,27,Single,Other
Money Market Account,F,27,Single,Other
Money Market Account,F,27,Single,Other
Money Market Account,F,27,Single,Other
Money Market Account,F,27,Single,Other
Money Market Account,M,27,Single,Professional
Money Market Account,M,27,Single,Professional
Money Market Account,M,27,Single,Professional
Money Market Account,M,27,Single,Professional
Checking Account,F,20,Single,Professional
Checking Account,F,20,Single,Professional
Money Market Account,F,34,Married,Professional
Checking Account,F,34,Married,Professional
Money Market Account,M,23,Single,Sales
Money Market Account,M,23,Single,Sales
Money Market Account,M,23,Single,Sales
Money Market Account,M,23,Single,Sales
Checking Account,F,25,Single,Other
Checking Account,F,25,Single,Other
Checking Account,F,27,Single,Other
Checking Account,F,27,Single,Other
Checking Account,F,29,Married,Executive
Checking Account,F,29,Married,Executive
Money Market Account,M,42,Married,Other
Checking Account,M,42,Married,Other
Money Market Account,M,42,Married,Other
Money Market Account,M,42,Married,Other
Checking Account,M,37,Unspecified,Trades
Personal Loan,M,37,Unspecified,Trades
Credit Card,M,57,Unspecified,Other
Credit Card,M,57,Unspecified,Other
Credit Card,M,57,Unspecified,Other
Credit Card,M,57,Unspecified,Other
Checking Account,F,23,Single,Sales
Checking Account,F,23,Single,Sales
Money Market Account,M,35,Married,Other
Money Market Account,M,35,Married,Other
Money Market Account,M,35,Married,Other
Checking Account,M,20,Single,Student
Personal Loan,M,20,Single,Student
Personal Loan,M,20,Single,Student
Checking Account,M,40,Married,Other
Checking Account,M,40,Married,Other
Checking Account,F,27,Single,Retail
Checking Account,F,27,Single,Retail
Checking Account,M,19,Single,Student
Checking Account,M,19,Single,Student
Citigold,F,32,Married,Other
Personal Loan,F,32,Married,Other
Checking Account,F,32,Married,Other
Checking Account,F,29,Single,Other
Checking Account,F,29,Single,Other
Money Market Account,F,24,Single,Other
Checking Account,F,24,Single,Other
Money Market Account,F,24,Single,Other
Money Market Account,F,24,Single,Other
Money Market Account,F,24,Single,Other
Checking Account,F,18,Single,Retail
Checking Account,F,18,Single,Retail
Checking Account,M,37,Single,Executive
Personal Loan,M,37,Single,Executive
Money Market Account,M,37,Single,Executive
Money Market Account,M,37,Single,Executive
Money Market Account,M,37,Single,Executive
Money Market Account,F,43,Married,Other
Money Market Account,F,43,Married,Other
Citigold,F,43,Married,Other
Personal Loan,M,47,Unspecified,Trades
Checking Account,M,47,Unspecified,Trades
Money Market Account,F,36,Married,Other
Money Market Account,F,36,Married,Other
Personal Loan,M,23,Single,Trades
Money Market Account,M,23,Single,Trades
Personal Loan,M,23,Single,Trades
Personal Loan,M,23,Single,Trades
Personal Loan,M,28,Single,Professional
Personal Loan,M,28,Single,Professional
Checking Account,M,28,Single,Professional
Checking Account,F,19,Single,Professional
Checking Account,F,19,Single,Professional
Money Market Account,F,47,Married,Hospitality
Money Market Account,F,47,Married,Hospitality
Money Market Account,F,47,Married,Hospitality
Money Market Account,F,47,Married,Hospitality
Personal Loan,M,34,Single,Trades
Personal Loan,M,34,Single,Trades
Personal Loan,M,30,Single,Other
Personal Loan,M,30,Single,Other
Personal Loan,M,30,Single,Other
Checking Account,M,30,Single,Other
Money Market Account,F,44,Married,Other
Money Market Account,F,44,Married,Other
Money Market Account,F,44,Married,Other
Citigold,F,44,Married,Other
Checking Account,F,27,Single,Sales
Checking Account,F,27,Single,Sales
Checking Account,F,32,Married,Professional
Personal Loan,F,32,Married,Professional
Citigold,F,32,Married,Professional
Checking Account,M,19,Single,Professional
Checking Account,M,19,Single,Professional
Money Market Account,F,31,Married,Hospitality
Checking Account,F,31,Married,Hospitality
Checking Account,F,31,Married,Hospitality
Money Market Account,F,31,Married,Hospitality
Money Market Account,M,29,Single,Professional
Money Market Account,M,29,Single,Professional
Money Market Account,M,29,Single,Professional
Money Market Account,M,29,Single,Professional
Money Market Account,M,24,Single,Executive
Money Market Account,M,24,Single,Executive
Checking Account,F,63,Married,Retired
Checking Account,F,63,Married,Retired
Citigold,F,63,Married,Retired
Checking Account,F,19,Single,Professional
Checking Account,F,19,Single,Professional
Money Market Account,F,47,Married,Other
Money Market Account,F,47,Married,Other
Money Market Account,M,24,Single,Trades
Money Market Account,M,24,Single,Trades
Money Market Account,M,24,Single,Trades
Money Market Account,M,24,Single,Trades
Money Market Account,M,40,Married,Executive
Money Market Account,M,40,Married,Executive
Money Market Account,M,40,Married,Executive
Checking Account,M,19,Single,Student
Money Market Account,M,19,Single,Student
Money Market Account,M,34,Married,Sales
Money Market Account,M,34,Married,Sales
Money Market Account,M,34,Married,Sales
Money Market Account,M,34,Married,Sales
Money Market Account,M,34,Married,Sales
Money Market Account,F,43,Married,Other
Money Market Account,F,43,Married,Other
Citigold,F,43,Married,Other
Checking Account,F,41,Married,Other
Checking Account,F,41,Married,Other
Personal Loan,M,23,Single,Sales
Personal Loan,M,23,Single,Sales
Personal Loan,M,23,Single,Sales
Personal Loan,F,39,Unspecified,Professional
Personal Loan,F,39,Unspecified,Professional
Personal Loan,F,39,Unspecified,Professional
Checking Account,M,47,Unspecified,Trades
Checking Account,M,47,Unspecified,Trades
Personal Loan,M,47,Unspecified,Trades
Credit Card,F,58,Married,Other
Credit Card,F,58,Married,Other
Credit Card,F,58,Married,Other
Credit Card,F,58,Married,Other
Credit Card,F,58,Married,Other
Credit Card,F,58,Married,Other
Personal Loan,F,25,Single,Other
Money Market Account,F,25,Single,Other
Personal Loan,M,21,Unspecified,Other
Personal Loan,M,21,Unspecified,Other
Personal Loan,M,21,Unspecified,Other
Checking Account,F,27,Single,Other
Checking Account,F,27,Single,Other
Credit Card,F,31,Married,Other
Credit Card,F,31,Married,Other
Credit Card,F,31,Married,Other
Credit Card,F,31,Married,Other
Personal Loan,M,24,Single,Sales
Personal Loan,M,24,Single,Sales
Checking Account,M,33,Married,Other
Money Market Account,M,33,Married,Other
Personal Loan,M,33,Married,Other
Money Market Account,M,27,Married,Other
Money Market Account,M,27,Married,Other
Money Market Account,M,27,Married,Other
Checking Account,F,33,Single,Professional
Checking Account,F,33,Single,Professional
Checking Account,F,33,Married,Executive
Checking Account,F,33,Married,Executive
Money Market Account,M,35,Married,Other
Money Market Account,M,35,Married,Other
Money Market Account,M,35,Married,Other
Personal Loan,M,35,Married,Other
Personal Loan,M,35,Married,Other
Personal Loan,M,43,Single,Professional
Personal Loan,M,43,Single,Professional
Money Market Account,F,25,Single,Hospitality
Money Market Account,F,25,Single,Hospitality
Money Market Account,F,49,Married,Other
Money Market Account,F,49,Married,Other
Money Market Account,F,31,Married,Executive
Money Market Account,F,31,Married,Executive
Money Market Account,F,31,Married,Executive
Citigold,F,31,Married,Executive
Credit Card,M,26,Unspecified,Sales
Checking Account,M,26,Unspecified,Sales
Personal Loan,M,26,Unspecified,Sales
Credit Card,M,26,Unspecified,Sales
Checking Account,F,47,Married,Executive
Checking Account,F,47,Married,Executive
Money Market Account,F,38,Single,Other
Checking Account,F,38,Single,Other
Checking Account,F,30,Married,Retail
Money Market Account,F,30,Married,Retail
Money Market Account,M,36,Married,Other
Money Market Account,M,36,Married,Other
Money Market Account,M,36,Married,Other
Personal Loan,M,25,Single,Retail
Personal Loan,M,25,Single,Retail
Money Market Account,F,34,Married,Hospitality
Money Market Account,F,34,Married,Hospitality
Money Market Account,F,41,Married,Other
Money Market Account,F,41,Married,Other
Money Market Account,F,41,Married,Other
Personal Loan,F,41,Married,Other
Money Market Account,F,44,Unspecified,Hospitality
Citigold,F,44,Unspecified,Hospitality
Money Market Account,F,44,Unspecified,Hospitality
Money Market Account,F,44,Unspecified,Hospitality
Citigold,F,44,Unspecified,Hospitality
Money Market Account,M,43,Married,Trades
Money Market Account,M,43,Married,Trades
Money Market Account,M,43,Married,Trades
Money Market Account,M,43,Married,Trades
Checking Account,F,50,Married,Other
Checking Account,F,50,Married,Other
Citigold,F,50,Married,Other
Money Market Account,M,43,Married,Sales
Money Market Account,M,43,Married,Sales
Checking Account,M,43,Married,Sales
Money Market Account,M,36,Married,Sales
Money Market Account,M,36,Married,Sales
Money Market Account,M,36,Married,Sales
Money Market Account,M,36,Married,Sales
Checking Account,F,32,Single,Other
Checking Account,F,32,Single,Other
Checking Account,F,34,Married,Other
Checking Account,F,34,Married,Other
Personal Loan,M,27,Single,Other
Personal Loan,M,27,Single,Other
Money Market Account,M,27,Single,Other
Money Market Account,M,32,Married,Other
Money Market Account,M,32,Married,Other
Money Market Account,M,32,Married,Other
Checking Account,M,32,Married,Other
Money Market Account,M,44,Married,Trades
Money Market Account,M,44,Married,Trades
Personal Loan,M,44,Married,Trades
Checking Account,F,20,Single,Retail
Checking Account,F,20,Single,Retail
Checking Account,F,20,Single,Retail
Money Market Account,M,33,Married,Executive
Money Market Account,M,33,Married,Executive
Money Market Account,M,33,Married,Executive
Money Market Account,M,33,Married,Executive
Personal Loan,M,23,Single,Retail
Personal Loan,M,23,Single,Retail
Personal Loan,M,23,Single,Retail
Citigold,M,23,Single,Retail
Money Market Account,M,19,Single,Sales
Money Market Account,M,19,Single,Sales
Money Market Account,M,19,Single,Sales
Money Market Account,M,19,Single,Sales
Money Market Account,M,28,Married,Sales
Checking Account,M,28,Married,Sales
Personal Loan,F,26,Single,Student
Personal Loan,F,26,Single,Student
Checking Account,F,57,Married,Other
Checking Account,F,57,Married,Other
Checking Account,F,43,Married,Retired
Checking Account,F,43,Married,Retired
Citigold,F,43,Married,Retired
Citigold,F,43,Married,Retired
Checking Account,F,25,Married,Executive
Money Market Account,F,25,Married,Executive
Personal Loan,M,37,Single,Professional
Personal Loan,M,37,Single,Professional
Personal Loan,M,37,Single,Professional
Money Market Account,M,29,Married,Sales
Money Market Account,M,29,Married,Sales
Money Market Account,M,29,Married,Sales
Personal Loan,M,29,Married,Sales
Checking Account,M,29,Married,Sales
Checking Account,F,23,Single,Other
Checking Account,F,55,Married,Other
Citigold,F,55,Married,Other
Money Market Account,M,41,Married,Other
Money Market Account,M,41,Married,Other
Checking Account,F,25,Single,Professional
Checking Account,F,24,Single,Sales
Checking Account,F,44,Married,Professional
Checking Account,F,28,Single,Other
Money Market Account,M,31,Married,Sales
Checking Account,F,29,Single,Professional
Credit Card,M,57,Unspecified,Other
Checking Account,M,57,Unspecified,Other
Personal Loan,F,26,Married,Other
Money Market Account,F,39,Married,Other
Money Market Account,F,39,Married,Other
Credit Card,M,45,Unspecified,Other
Checking Account,F,29,Married,Retail
Checking Account,F,37,Married,Executive
Personal Loan,M,24,Single,Retail
Checking Account,F,28,Single,Professional
Money Market Account,M,32,Married,Executive
Credit Card,M,32,Married,Executive
Credit Card,M,32,Married,Executive
Credit Card,M,32,Married,Executive
Personal Loan,F,30,Unspecified,Professional
Checking Account,F,36,Married,Professional
Personal Loan,F,19,Single,Student
Personal Loan,F,19,Single,Student
Personal Loan,M,44,Single,Sales
Personal Loan,M,35,Married,Other
Money Market Account,M,33,Married,Sales
Personal Loan,M,20,Single,Student
Money Market Account,M,20,Single,Student
Personal Loan,F,22,Single,Other
Checking Account,F,22,Single,Other
Money Market Account,F,46,Married,Hospitality
Citigold,F,46,Married,Hospitality
Money Market Account,F,32,Married,Other
Money Market Account,F,43,Married,Other
Credit Card,F,46,Married,Other
Money Market Account,F,37,Unspecified,Hospitality
Citigold,F,37,Unspecified,Hospitality
Personal Loan,M,33,Single,Professional
Money Market Account,M,34,Married,Professional
Checking Account,F,19,Single,Sales
Money Market Account,F,30,Single,Retail
Personal Loan,M,40,Single,Other
Personal Loan,M,40,Single,Other
Money Market Account,F,23,Single,Other
Money Market Account,F,23,Single,Other
Credit Card,F,50,Married,Other
Credit Card,F,50,Married,Other
Money Market Account,M,27,Single,Trades
Money Market Account,M,27,Single,Trades
Checking Account,F,67,Married,Retired
Money Market Account,M,25,Single,Sales
Checking Account,M,25,Single,Sales
Money Market Account,M,41,Married,Other
Checking Account,M,25,Single,Student
Credit Card,M,50,Married,Other
Credit Card,M,50,Married,Other
Checking Account,F,28,Married,Other
Checking Account,M,37,Married,Other
Personal Loan,F,32,Married,Other
Credit Card,M,56,Married,Other
Credit Card,M,56,Married,Other
Checking Account,F,21,Single,Retail
Money Market Account,F,32,Married,Executive
Money Market Account,F,32,Married,Executive
Money Market Account,F,32,Married,Executive
Money Market Account,F,28,Married,Other
Money Market Account,M,23,Single,Trades
Checking Account,F,38,Single,Professional
Money Market Account,M,41,Married,Executive
Checking Account,F,29,Single,Student
Checking Account,F,46,Married,Other
Checking Account,M,23,Single,Sales
Checking Account,F,57,Unspecified,Hospitality
Citigold,F,26,Single,Student
Checking Account,F,43,Married,Other
Personal Loan,M,38,Single,Professional
Citigold,F,59,Unspecified,Hospitality
Money Market Account,F,28,Married,Other
Money Market Account,F,28,Married,Other
Credit Card,F,41,Married,Other
Credit Card,F,41,Married,Other
Credit Card,F,41,Married,Other
Checking Account,F,24,Single,Retail
Checking Account,F,20,Single,Retail
Checking Account,M,19,Single,Other
Checking Account,F,27,Single,Other
Citigold,M,17,Single,Student
Checking Account,M,17,Single,Student
Money Market Account,F,30,Married,Executive
Money Market Account,F,30,Married,Executive
Checking Account,F,25,Single,Student
Money Market Account,M,19,Single,Student
Checking Account,F,41,Married,Other
Checking Account,F,41,Married,Other
Money Market Account,F,34,Married,Hospitality
Money Market Account,F,34,Married,Hospitality
Money Market Account,F,37,Unspecified,Hospitality
Personal Loan,M,23,Single,Professional
Checking Account,M,23,Single,Professional
Credit Card,F,55,Married,Other
Credit Card,F,55,Married,Other
Credit Card,F,55,Married,Other
Money Market Account,M,32,Single,Trades
Money Market Account,M,32,Single,Trades
Credit Card,M,50,Married,Other
Credit Card,M,50,Married,Other
Money Market Account,F,19,Single,Hospitality
Money Market Account,F,19,Single,Hospitality
Money Market Account,F,19,Single,Hospitality
Personal Loan,M,43,Married,Other
Checking Account,F,54,Married,Other
Citigold,F,54,Married,Other
Money Market Account,F,49,Married,Other
Personal Loan,M,21,Single,Professional
Money Market Account,M,21,Single,Professional
Money Market Account,M,21,Single,Professional
Checking Account,M,21,Single,Professional
Money Market Account,M,21,Single,Professional
Credit Card,M,52,Married,Other
Checking Account,F,24,Single,Professional
Checking Account,F,41,Married,Sales
Personal Loan,M,20,Single,Professional
Money Market Account,F,32,Married,Executive
Personal Loan,F,29,Single,Other
Money Market Account,M,34,Married,Other
Checking Account,M,27,Married,Professional
Checking Account,F,24,Single,Retail
Checking Account,F,26,Single,Professional
Checking Account,F,29,Single,Other
Personal Loan,F,31,Married,Other
Personal Loan,F,31,Married,Other
Personal Loan,F,31,Married,Other
Money Market Account,F,36,Married,Executive
Citigold,F,36,Married,Executive
Checking Account,F,27,Married,Executive
Credit Card,M,30,Single,Sales
Money Market Account,M,30,Single,Sales
Money Market Account,M,30,Single,Sales
Credit Card,M,30,Single,Sales
Credit Card,M,30,Single,Sales
Money Market Account,M,35,Married,Sales
Money Market Account,M,35,Married,Sales
Credit Card,F,57,Unspecified,Hospitality
Credit Card,F,57,Unspecified,Hospitality
Credit Card,F,57,Unspecified,Hospitality
Credit Card,F,57,Unspecified,Hospitality
Credit Card,F,57,Unspecified,Hospitality
Credit Card,F,57,Unspecified,Hospitality
Credit Card,F,57,Unspecified,Hospitality
Personal Loan,F,27,Married,Professional
Personal Loan,F,27,Married,Professional
Money Market Account,M,35,Married,Executive
Money Market Account,M,35,Married,Executive
Personal Loan,M,35,Married,Executive
Personal Loan,M,35,Married,Executive
Checking Account,M,27,Single,Professional
Checking Account,M,27,Single,Professional
Citigold,M,27,Single,Professional
Personal Loan,M,22,Single,Sales
Checking Account,M,22,Single,Sales
Personal Loan,M,22,Single,Sales
Money Market Account,M,22,Single,Sales
Checking Account,F,26,Single,Student
Checking Account,F,26,Single,Student
Checking Account,F,53,Married,Other
Checking Account,F,53,Married,Other
Money Market Account,M,35,Married,Sales
Money Market Account,M,35,Married,Sales
Money Market Account,M,35,Married,Sales
Checking Account,F,28,Married,Other
Personal Loan,F,28,Married,Other
Money Market Account,M,39,Married,Trades
Money Market Account,M,39,Married,Trades
Money Market Account,M,39,Married,Trades
Credit Card,M,44,Married,Professional
Credit Card,M,44,Married,Professional
Credit Card,M,44,Married,Professional
Credit Card,M,44,Married,Professional
Credit Card,M,44,Married,Professional
Personal Loan,F,28,Single,Professional
Personal Loan,F,28,Single,Professional
Checking Account,F,28,Single,Professional
Money Market Account,M,28,Married,Sales
Money Market Account,M,28,Married,Sales
Money Market Account,M,24,Single,Other
Personal Loan,M,24,Single,Other
Money Market Account,M,24,Single,Other
Checking Account,M,24,Single,Other
Checking Account,F,27,Married,Executive
Checking Account,F,27,Married,Executive
Personal Loan,M,29,Single,Sales
Personal Loan,M,29,Single,Sales
Money Market Account,M,28,Single,Sales
Money Market Account,M,28,Single,Sales
Personal Loan,F,38,Married,Professional
Personal Loan,F,38,Married,Professional
Personal Loan,F,38,Married,Professional
Personal Loan,F,38,Married,Professional
Personal Loan,F,38,Married,Professional
Personal Loan,M,25,Single,Sales
Personal Loan,M,25,Single,Sales
Personal Loan,M,25,Single,Sales
Personal Loan,M,25,Single,Sales
Money Market Account,M,25,Single,Sales
Money Market Account,M,30,Married,Executive
Checking Account,M,30,Married,Executive
Money Market Account,M,30,Married,Executive
Checking Account,M,30,Married,Executive
Checking Account,F,43,Married,Executive
Checking Account,F,43,Married,Executive
Checking Account,F,33,Married,Other
Checking Account,F,33,Married,Other
Checking Account,F,26,Married,Retail
Money Market Account,F,26,Married,Retail
Checking Account,F,26,Married,Retail
Money Market Account,M,35,Single,Other
Personal Loan,M,35,Single,Other
Money Market Account,M,35,Single,Other
Money Market Account,M,35,Single,Other
Money Market Account,M,35,Single,Other
Checking Account,M,22,Single,Student
Checking Account,M,22,Single,Student
Checking Account,F,53,Married,Other
Checking Account,F,53,Married,Other
Checking Account,F,21,Single,Student
Checking Account,F,21,Single,Student
Checking Account,M,25,Married,Other
Checking Account,M,25,Married,Other
Checking Account,F,31,Single,Professional
Checking Account,F,31,Single,Professional
Checking Account,M,34,Single,Trades
Money Market Account,M,34,Single,Trades
Money Market Account,M,34,Single,Trades
Money Market Account,F,46,Unspecified,Hospitality
Money Market Account,F,46,Unspecified,Hospitality
Checking Account,M,27,Single,Other
Personal Loan,M,27,Single,Other
Money Market Account,F,43,Unspecified,Hospitality
Money Market Account,F,43,Unspecified,Hospitality
Money Market Account,M,37,Married,Other
Money Market Account,M,37,Married,Other
Personal Loan,M,23,Single,Sales
Checking Account,M,23,Single,Sales
Personal Loan,M,23,Single,Sales
Personal Loan,M,23,Single,Sales
Money Market Account,M,39,Married,Professional
Checking Account,M,39,Married,Professional
Checking Account,M,39,Married,Professional
Checking Account,F,27,Single,Professional
Checking Account,F,27,Single,Professional
Money Market Account,M,27,Single,Trades
Money Market Account,M,27,Single,Trades
Credit Card,M,59,Married,Other
Credit Card,M,59,Married,Other
Credit Card,M,59,Married,Other
Money Market Account,M,43,Married,Other
Money Market Account,M,43,Married,Other
Money Market Account,M,43,Married,Other
Personal Loan,F,36,Married,Other
Citigold,F,36,Married,Other
Checking Account,F,36,Married,Other
Personal Loan,F,21,Single,Other
Personal Loan,F,21,Single,Other
Personal Loan,F,21,Single,Other
Personal Loan,F,21,Single,Other
Checking Account,F,19,Single,Retail
Checking Account,F,19,Single,Retail
Money Market Account,F,30,Married,Other
Money Market Account,F,30,Married,Other
Citigold,F,30,Married,Other
Personal Loan,M,22,Single,Retail
Personal Loan,M,22,Single,Retail
Checking Account,F,27,Single,Professional
Checking Account,F,27,Single,Professional
Money Market Account,F,27,Single,Professional
Money Market Account,M,20,Single,Trades
Money Market Account,M,20,Single,Trades
Money Market Account,M,29,Married,Other
Money Market Account,M,29,Married,Other
Credit Card,F,33,Married,Other
Money Market Account,M,28,Married,Sales
Money Market Account,M,28,Married,Sales
Checking Account,M,33,Single,Student
Checking Account,F,36,Single,Other
Checking Account,F,35,Single,Other
Money Market Account,F,31,Married,Other
Money Market Account,F,31,Married,Other
Money Market Account,F,31,Married,Other
Checking Account,M,44,Unspecified,Trades
Personal Loan,M,44,Single,Sales
Checking Account,M,44,Single,Sales
Personal Loan,M,26,Single,Professional
Checking Account,F,48,Married,Other
Money Market Account,M,31,Married,Other
Checking Account,F,28,Single,Other
Personal Loan,M,43,Single,Other
Checking Account,M,25,Single,Sales
Checking Account,F,34,Single,Professional
Checking Account,F,25,Single,Professional
Checking Account,F,34,Married,Professional
Credit Card,M,38,Married,Executive
Credit Card,M,38,Married,Executive
Money Market Account,F,38,Married,Other
Money Market Account,F,38,Married,Other
Checking Account,F,25,Single,Sales
Checking Account,F,27,Single,Retail
Checking Account,F,32,Married,Executive
Checking Account,F,19,Single,Sales
Citigold,M,26,Single,Professional
Money Market Account,M,26,Single,Professional
Personal Loan,M,23,Single,Student
Personal Loan,M,23,Single,Student
Personal Loan,M,23,Single,Student
Money Market Account,F,26,Single,Other
Checking Account,M,28,Married,Professional
Checking Account,F,67,Married,Retired
Checking Account,M,30,Married,Professional
Money Market Account,M,31,Single,Other
Credit Card,M,31,Single,Other
Checking Account,M,31,Single,Other
Money Market Account,M,39,Married,Other
Money Market Account,F,32,Married,Executive
Citigold,F,32,Married,Executive
Personal Loan,F,20,Single,Professional
Personal Loan,F,20,Single,Professional
Money Market Account,F,47,Married,Executive
Checking Account,F,22,Single,Professional
Credit Card,M,55,Married,Professional
Checking Account,M,55,Married,Professional
