ID,TRANS_TYPE,GENDER,AGE,MARITAL_STATUS,PROFESSION
13907,Not Fraud,M,38,Married,Professional
13908,Not Fraud,M,38,Married,Professional
13909,Not Fraud,F,36,Married,Other
13910,Not Fraud,F,36,Married,Other
13911,Not Fraud,F,36,Married,Other
13912,Not Fraud,F,36,Married,Other
13913,Not Fraud,F,21,Single,Hospitality
13914,Not Fraud,F,21,Single,Hospitality
13915,Not Fraud,F,21,Single,Hospitality
13916,Not Fraud,F,23,Single,Other
13917,Not Fraud,F,23,Single,Other
13918,Not Fraud,M,41,Married,Executive
13919,Not Fraud,M,41,Married,Executive
13920,Not Fraud,M,41,Married,Executive
13921,Not Fraud,F,29,Unspecified,Professional
13922,Refer to Agent,F,29,Unspecified,Professional
13923,Refer to Agent,F,29,Unspecified,Professional
13924,Fraud,F,29,Unspecified,Professional
13925,Not Fraud,M,38,Married,Executive
13926,Not Fraud,M,38,Married,Executive
13927,Not Fraud,M,38,Married,Executive
13928,Not Fraud,M,35,Married,Sales
13929,Not Fraud,M,35,Married,Sales
13930,Not Fraud,F,37,Unspecified,Hospitality
13931,Not Fraud,F,37,Unspecified,Hospitality
13932,Not Fraud,F,30,Married,Executive
13933,Not Fraud,F,30,Married,Executive
13934,Not Fraud,F,30,Married,Executive
13935,Not Fraud,F,30,Married,Executive
13936,Not Fraud,M,31,Married,Sales
13937,Not Fraud,M,31,Married,Sales
13938,Not Fraud,M,31,Married,Sales
13939,Not Fraud,M,31,Married,Sales
13940,Not Fraud,M,31,Married,Sales
13941,Not Fraud,M,31,Married,Sales
13942,Refer to Agent,M,43,Married,Professional
13943,Refer to Agent,M,43,Married,Professional
13944,Refer to Agent,M,43,Married,Professional
13945,Refer to Agent,M,43,Married,Professional
13946,Refer to Agent,M,43,Married,Professional
13947,Refer to Agent,M,43,Married,Professional
13948,Not Fraud,F,47,Unspecified,Hospitality
13949,Not Fraud,F,47,Unspecified,Hospitality
13950,Not Fraud,F,47,Unspecified,Hospitality
13951,Not Fraud,M,19,Single,Trades
13952,Not Fraud,M,19,Single,Trades
13953,Not Fraud,M,27,Single,Other
13954,Not Fraud,M,27,Single,Other
13955,Not Fraud,M,27,Single,Other
13956,Not Fraud,M,27,Single,Other
13957,Not Fraud,M,27,Single,Other
13958,Not Fraud,M,27,Single,Other
13959,Not Fraud,M,27,Single,Other
13960,Not Fraud,M,27,Single,Other
13961,Not Fraud,M,43,Married,Other
13962,Not Fraud,M,43,Married,Other
13963,Not Fraud,M,43,Married,Other
13964,Not Fraud,M,37,Married,Other
13965,Not Fraud,M,37,Married,Other
13966,Not Fraud,M,37,Married,Other
13967,Not Fraud,M,31,Married,Trades
13968,Not Fraud,M,31,Married,Trades
13969,Not Fraud,M,31,Married,Trades
13970,Not Fraud,M,31,Married,Trades
13971,Not Fraud,M,31,Married,Sales
13972,Not Fraud,M,31,Married,Sales
13973,Not Fraud,M,31,Married,Sales
13974,Not Fraud,M,31,Married,Sales
13975,Not Fraud,M,31,Married,Sales
13976,Not Fraud,F,25,Unspecified,Other
13977,Not Fraud,F,25,Unspecified,Other
13978,Not Fraud,F,25,Unspecified,Other
13979,Fraud,F,25,Unspecified,Other
13980,Not Fraud,F,25,Unspecified,Other
13981,Not Fraud,M,30,Married,Other
13982,Not Fraud,M,30,Married,Other
13983,Not Fraud,M,26,Single,Other
13984,Not Fraud,M,26,Single,Other
13985,Not Fraud,M,26,Single,Other
13986,Not Fraud,M,21,Unspecified,Other
13987,Refer to Agent,M,21,Unspecified,Other
13988,Refer to Agent,M,21,Unspecified,Other
13989,Not Fraud,F,25,Married,Retail
13990,Not Fraud,F,25,Married,Retail
13991,Fraud,F,25,Married,Retail
13992,Not Fraud,F,28,Married,Retail
13993,Not Fraud,F,28,Married,Retail
13994,Not Fraud,F,28,Married,Retail
13995,Not Fraud,M,29,Single,Other
13996,Not Fraud,M,29,Single,Other
13997,Not Fraud,M,29,Single,Other
13998,Not Fraud,F,28,Single,Retail
13999,Not Fraud,F,28,Single,Retail
14000,Not Fraud,F,28,Single,Retail
14001,Not Fraud,F,34,Married,Other
14002,Not Fraud,F,34,Married,Other
14003,Not Fraud,F,27,Married,Other
14004,Not Fraud,F,27,Married,Other
14005,Not Fraud,F,27,Married,Other
14006,Not Fraud,F,27,Married,Other
14007,Refer to Agent,M,50,Married,Other
14008,Refer to Agent,M,50,Married,Other
14009,Refer to Agent,M,50,Married,Other
14010,Refer to Agent,M,50,Married,Other
14011,Refer to Agent,M,50,Married,Other
14012,Refer to Agent,M,50,Married,Other
14013,Not Fraud,M,50,Married,Other
14014,Not Fraud,F,62,Married,Other
14015,Fraud,F,62,Married,Other
14016,Not Fraud,M,26,Single,Executive
14017,Not Fraud,M,26,Single,Executive
14018,Not Fraud,M,40,Married,Executive
14019,Not Fraud,M,40,Married,Executive
14020,Not Fraud,M,38,Married,Trades
14021,Not Fraud,M,38,Married,Trades
14022,Not Fraud,M,21,Single,Other
14023,Not Fraud,M,21,Single,Other
14024,Not Fraud,M,21,Single,Other
14025,Not Fraud,M,21,Single,Other
14026,Not Fraud,F,37,Married,Other
14027,Not Fraud,F,37,Married,Other
14028,Fraud,F,37,Married,Other
14029,Not Fraud,M,21,Single,Other
14030,Not Fraud,M,21,Single,Other
14031,Not Fraud,F,31,Married,Hospitality
14032,Not Fraud,F,31,Married,Hospitality
14033,Not Fraud,F,49,Married,Other
14034,Not Fraud,F,49,Married,Other
14035,Not Fraud,F,49,Married,Other
14036,Fraud,F,69,Unspecified,Hospitality
14037,Fraud,F,69,Unspecified,Hospitality
14038,Not Fraud,F,69,Unspecified,Hospitality
14039,Not Fraud,F,29,Single,Student
14040,Not Fraud,F,29,Single,Student
14041,Not Fraud,F,29,Single,Student
14042,Not Fraud,F,63,Married,Retired
14043,Not Fraud,F,63,Married,Retired
14044,Not Fraud,F,44,Married,Other
14045,Not Fraud,F,44,Married,Other
14046,Not Fraud,F,44,Married,Other
14047,Not Fraud,M,25,Single,Other
14048,Not Fraud,M,25,Single,Other
14049,Not Fraud,M,25,Single,Other
14050,Not Fraud,M,25,Single,Other
14051,Not Fraud,M,25,Single,Other
14052,Not Fraud,M,26,Married,Executive
14053,Not Fraud,M,26,Married,Executive
14054,Not Fraud,M,26,Married,Executive
14055,Not Fraud,M,26,Married,Executive
14056,Not Fraud,M,26,Married,Executive
14057,Not Fraud,M,26,Married,Executive
14058,Not Fraud,F,33,Married,Executive
14059,Not Fraud,F,33,Married,Executive
14060,Not Fraud,F,33,Married,Executive
14061,Fraud,F,33,Married,Executive
14062,Not Fraud,F,33,Married,Executive
14063,Not Fraud,F,33,Married,Executive
14064,Not Fraud,F,33,Married,Executive
14065,Not Fraud,F,29,Single,Other
14066,Not Fraud,F,29,Single,Other
14067,Not Fraud,F,21,Single,Retail
14068,Not Fraud,F,21,Single,Retail
14069,Not Fraud,F,47,Married,Professional
14070,Not Fraud,F,47,Married,Professional
14071,Not Fraud,F,50,Married,Other
14072,Not Fraud,F,50,Married,Other
14073,Not Fraud,M,33,Married,Sales
14074,Not Fraud,M,33,Married,Sales
14075,Not Fraud,M,33,Married,Sales
14076,Not Fraud,M,33,Single,Executive
14077,Not Fraud,M,33,Single,Executive
14078,Not Fraud,M,33,Single,Executive
14079,Not Fraud,F,56,Married,Other
14080,Not Fraud,F,56,Married,Other
14081,Not Fraud,F,56,Married,Other
14082,Not Fraud,M,19,Single,Professional
14083,Not Fraud,M,19,Single,Professional
14084,Not Fraud,F,22,Single,Professional
14085,Not Fraud,F,22,Single,Professional
14086,Not Fraud,F,22,Single,Professional
14087,Not Fraud,F,34,Single,Other
14088,Not Fraud,F,34,Single,Other
14089,Not Fraud,F,46,Married,Executive
14090,Not Fraud,F,46,Married,Executive
14091,Not Fraud,F,46,Married,Executive
14092,Not Fraud,F,29,Single,Professional
14093,Not Fraud,F,29,Single,Professional
14094,Not Fraud,F,25,Single,Other
14095,Not Fraud,F,25,Single,Other
14096,Not Fraud,F,33,Married,Executive
14097,Not Fraud,F,33,Married,Executive
14098,Not Fraud,M,36,Single,Professional
14099,Not Fraud,M,36,Single,Professional
14100,Not Fraud,M,36,Single,Professional
14101,Not Fraud,F,45,Married,Executive
14102,Not Fraud,F,45,Married,Executive
14103,Not Fraud,F,23,Single,Retail
14104,Not Fraud,F,23,Single,Retail
14105,Not Fraud,M,23,Single,Other
14106,Not Fraud,M,23,Single,Other
14107,Not Fraud,M,25,Married,Professional
14108,Refer to Agent,M,25,Married,Professional
14109,Refer to Agent,M,25,Married,Professional
14110,Refer to Agent,M,25,Married,Professional
14111,Refer to Agent,M,25,Married,Professional
14112,Not Fraud,F,24,Married,Retail
14113,Not Fraud,F,24,Married,Retail
14114,Not Fraud,F,24,Married,Retail
14115,Not Fraud,F,27,Unspecified,Other
14116,Not Fraud,F,27,Unspecified,Other
14117,Not Fraud,F,27,Unspecified,Other
14118,Not Fraud,M,40,Single,Other
14119,Not Fraud,M,40,Single,Other
14120,Not Fraud,M,40,Single,Other
14121,Refer to Agent,M,28,Single,Other
14122,Not Fraud,M,28,Single,Other
14123,Not Fraud,M,28,Single,Other
14124,Refer to Agent,M,28,Single,Other
14125,Refer to Agent,M,28,Single,Other
14126,Not Fraud,F,42,Married,Other
14127,Not Fraud,F,42,Married,Other
14128,Fraud,F,42,Married,Other
14129,Not Fraud,M,31,Married,Executive
14130,Not Fraud,M,31,Married,Executive
14131,Not Fraud,F,27,Married,Professional
14132,Refer to Agent,F,27,Married,Professional
14133,Not Fraud,F,27,Married,Professional
14134,Not Fraud,F,29,Single,Student
14135,Not Fraud,F,29,Single,Student
14136,Not Fraud,F,29,Single,Student
14137,Not Fraud,F,29,Single,Student
14138,Not Fraud,F,29,Single,Student
14139,Not Fraud,F,29,Single,Student
14140,Not Fraud,F,29,Single,Retail
14141,Not Fraud,F,29,Single,Retail
14142,Not Fraud,F,29,Single,Retail
14143,Not Fraud,M,26,Single,Sales
14144,Not Fraud,M,26,Single,Sales
14145,Refer to Agent,M,26,Single,Sales
14146,Not Fraud,F,45,Unspecified,Hospitality
14147,Not Fraud,F,45,Unspecified,Hospitality
14148,Fraud,F,45,Unspecified,Hospitality
14149,Not Fraud,F,33,Single,Professional
14150,Not Fraud,F,33,Single,Professional
14151,Not Fraud,F,42,Married,Other
14152,Not Fraud,F,42,Married,Other
14153,Not Fraud,F,42,Married,Other
14154,Not Fraud,F,42,Married,Other
14155,Refer to Agent,M,59,Married,Trades
14156,Refer to Agent,M,59,Married,Trades
14157,Refer to Agent,M,59,Married,Trades
14158,Not Fraud,M,29,Single,Other
14159,Not Fraud,M,29,Single,Other
14160,Not Fraud,M,24,Single,Professional
14161,Not Fraud,M,24,Single,Professional
14162,Not Fraud,M,24,Single,Professional
14163,Not Fraud,M,24,Single,Professional
14164,Not Fraud,M,39,Married,Other
14165,Not Fraud,M,39,Married,Other
14166,Not Fraud,M,39,Married,Other
14167,Not Fraud,M,30,Married,Sales
14168,Refer to Agent,M,30,Married,Sales
14169,Refer to Agent,M,30,Married,Sales
14170,Not Fraud,F,26,Single,Other
14171,Not Fraud,F,26,Single,Other
14172,Not Fraud,M,29,Single,Other
14173,Not Fraud,M,29,Single,Other
14174,Not Fraud,M,29,Single,Other
14175,Not Fraud,M,29,Single,Other
14176,Not Fraud,F,34,Married,Other
14177,Not Fraud,F,34,Married,Other
14178,Not Fraud,F,38,Married,Other
14179,Not Fraud,F,38,Married,Other
14180,Not Fraud,F,22,Single,Student
14181,Not Fraud,F,22,Single,Student
14182,Refer to Agent,M,52,Married,Other
14183,Refer to Agent,M,52,Married,Other
14184,Not Fraud,F,35,Married,Executive
14185,Not Fraud,F,35,Married,Executive
14186,Not Fraud,F,35,Married,Executive
14187,Not Fraud,M,19,Single,Professional
14188,Not Fraud,M,19,Single,Professional
14189,Not Fraud,M,37,Married,Other
14190,Not Fraud,M,37,Married,Other
14191,Not Fraud,M,37,Married,Other
14192,Not Fraud,F,44,Married,Other
14193,Not Fraud,F,44,Married,Other
14194,Not Fraud,M,30,Married,Other
14195,Not Fraud,M,30,Married,Other
14196,Not Fraud,F,41,Married,Retail
14197,Not Fraud,F,41,Married,Retail
14198,Not Fraud,F,45,Married,Professional
14199,Not Fraud,F,45,Married,Professional
14200,Not Fraud,F,45,Married,Professional
14201,Not Fraud,F,45,Married,Professional
14202,Not Fraud,M,35,Unspecified,Trades
14203,Not Fraud,M,35,Unspecified,Trades
14204,Not Fraud,M,35,Unspecified,Trades
14205,Not Fraud,M,35,Unspecified,Trades
14206,Not Fraud,M,35,Unspecified,Trades
14207,Not Fraud,M,28,Married,Executive
14208,Refer to Agent,M,28,Married,Executive
14209,Not Fraud,M,28,Married,Executive
14210,Not Fraud,M,27,Single,Professional
14211,Not Fraud,M,27,Single,Professional
14212,Not Fraud,F,24,Single,Sales
14213,Not Fraud,F,24,Single,Sales
14214,Not Fraud,M,34,Married,Trades
14215,Not Fraud,M,34,Married,Trades
14216,Not Fraud,M,34,Married,Trades
14217,Not Fraud,F,23,Single,Retail
14218,Not Fraud,F,23,Single,Retail
14219,Not Fraud,M,36,Married,Trades
14220,Not Fraud,M,36,Married,Trades
14221,Not Fraud,F,19,Single,Other
14222,Not Fraud,F,19,Single,Other
14223,Not Fraud,F,46,Married,Executive
14224,Not Fraud,F,46,Married,Executive
14225,Not Fraud,F,34,Married,Professional
14226,Not Fraud,F,34,Married,Professional
14227,Not Fraud,F,34,Married,Professional
14228,Not Fraud,M,38,Married,Trades
14229,Not Fraud,M,38,Married,Trades
14230,Not Fraud,F,19,Single,Professional
14231,Not Fraud,F,19,Single,Professional
14232,Not Fraud,M,34,Married,Student
14233,Not Fraud,M,34,Married,Student
14234,Not Fraud,M,34,Married,Student
14235,Not Fraud,M,34,Married,Student
14236,Not Fraud,M,34,Married,Student
14237,Refer to Agent,M,34,Married,Student
14238,Not Fraud,F,65,Married,Retired
14239,Not Fraud,F,65,Married,Retired
14240,Fraud,F,65,Married,Retired
14241,Not Fraud,M,24,Single,Executive
14242,Not Fraud,M,24,Single,Executive
14243,Not Fraud,M,24,Single,Executive
14244,Not Fraud,M,24,Single,Executive
14245,Not Fraud,F,23,Single,Other
14246,Not Fraud,F,23,Single,Other
14247,Not Fraud,F,23,Single,Other
14248,Not Fraud,F,23,Single,Other
14249,Not Fraud,F,23,Single,Other
14250,Not Fraud,F,37,Unspecified,Hospitality
14251,Not Fraud,F,37,Unspecified,Hospitality
14252,Not Fraud,F,37,Unspecified,Hospitality
14253,Not Fraud,F,27,Married,Other
14254,Not Fraud,F,27,Married,Other
14255,Not Fraud,F,27,Married,Other
14256,Not Fraud,M,30,Married,Other
14257,Not Fraud,M,30,Married,Other
14258,Not Fraud,M,30,Married,Other
14259,Not Fraud,M,37,Married,Executive
14260,Not Fraud,M,37,Married,Executive
14261,Not Fraud,M,37,Married,Executive
14262,Not Fraud,F,28,Unspecified,Sales
14263,Not Fraud,F,28,Unspecified,Sales
14264,Not Fraud,F,28,Unspecified,Sales
14265,Refer to Agent,M,45,Unspecified,Other
14266,Refer to Agent,M,45,Unspecified,Other
14267,Not Fraud,M,45,Unspecified,Other
14268,Not Fraud,F,22,Single,Other
14269,Not Fraud,F,22,Single,Other
14270,Not Fraud,F,22,Single,Other
14271,Not Fraud,F,59,Married,Other
14272,Not Fraud,F,59,Married,Other
14273,Not Fraud,M,31,Single,Professional
14274,Not Fraud,M,31,Single,Professional
14275,Not Fraud,M,31,Single,Professional
14276,Not Fraud,M,45,Married,Professional
14277,Not Fraud,M,45,Married,Professional
14278,Not Fraud,M,45,Married,Professional
14279,Not Fraud,M,45,Married,Professional
14280,Not Fraud,M,45,Married,Professional
14281,Not Fraud,M,27,Single,Sales
14282,Not Fraud,M,27,Single,Sales
14283,Not Fraud,M,27,Single,Sales
14284,Not Fraud,F,18,Single,Retail
14285,Not Fraud,F,18,Single,Retail
14286,Fraud,F,24,Single,Other
14287,Fraud,F,24,Single,Other
14288,Not Fraud,F,49,Married,Sales
14289,Not Fraud,F,49,Married,Sales
14290,Not Fraud,F,49,Married,Sales
14291,Not Fraud,F,47,Married,Executive
14292,Not Fraud,F,47,Married,Executive
14293,Not Fraud,F,47,Married,Executive
14294,Not Fraud,M,29,Married,Other
14295,Not Fraud,M,29,Married,Other
14296,Not Fraud,F,24,Single,Retail
14297,Not Fraud,F,24,Single,Retail
14298,Not Fraud,F,46,Unspecified,Hospitality
14299,Not Fraud,F,46,Unspecified,Hospitality
14300,Not Fraud,M,25,Single,Trades
14301,Not Fraud,M,25,Single,Trades
14302,Not Fraud,M,25,Single,Trades
14303,Not Fraud,M,25,Single,Trades
14304,Not Fraud,M,34,Married,Executive
14305,Not Fraud,M,34,Married,Executive
14306,Not Fraud,M,24,Single,Student
14307,Not Fraud,M,24,Single,Student
14308,Not Fraud,M,28,Single,Other
14309,Not Fraud,M,28,Single,Other
14310,Not Fraud,M,24,Single,Student
14311,Not Fraud,M,24,Single,Student
14312,Not Fraud,M,24,Single,Student
14313,Not Fraud,M,24,Single,Student
14314,Not Fraud,F,19,Single,Other
14315,Not Fraud,F,19,Single,Other
14316,Not Fraud,M,31,Married,Trades
14317,Not Fraud,M,31,Married,Trades
14318,Not Fraud,M,31,Married,Trades
14319,Not Fraud,F,49,Married,Other
14320,Not Fraud,F,49,Married,Other
14321,Not Fraud,F,49,Married,Other
14322,Not Fraud,F,49,Married,Other
14323,Not Fraud,F,49,Married,Other
14324,Not Fraud,F,34,Married,Executive
14325,Not Fraud,F,34,Married,Executive
14326,Not Fraud,F,34,Married,Executive
14327,Fraud,F,34,Married,Executive
14328,Not Fraud,M,26,Single,Other
14329,Not Fraud,M,26,Single,Other
14330,Not Fraud,M,26,Single,Other
14331,Not Fraud,M,26,Single,Other
14332,Not Fraud,M,21,Single,Other
14333,Not Fraud,M,21,Single,Other
14334,Not Fraud,M,21,Single,Other
14335,Not Fraud,F,23,Single,Other
14336,Not Fraud,F,23,Single,Other
14337,Not Fraud,F,23,Single,Other
14338,Fraud,F,23,Single,Other
14339,Not Fraud,M,46,Unspecified,Trades
14340,Not Fraud,M,46,Unspecified,Trades
14341,Not Fraud,M,46,Unspecified,Trades
14342,Not Fraud,M,41,Single,Professional
14343,Not Fraud,M,41,Single,Professional
14344,Not Fraud,M,41,Single,Professional
14345,Not Fraud,M,41,Single,Professional
14346,Not Fraud,M,41,Single,Professional
14347,Not Fraud,M,41,Single,Professional
14348,Not Fraud,M,32,Married,Other
14349,Not Fraud,M,32,Married,Other
14350,Not Fraud,M,32,Married,Other
14351,Not Fraud,M,32,Married,Other
14352,Refer to Agent,F,58,Married,Other
14353,Refer to Agent,F,58,Married,Other
14354,Not Fraud,F,24,Single,Student
14355,Not Fraud,F,24,Single,Student
14356,Not Fraud,F,44,Married,Retail
14357,Not Fraud,F,44,Married,Retail
14358,Not Fraud,F,22,Single,Student
14359,Not Fraud,F,22,Single,Student
14360,Not Fraud,F,22,Single,Student
14361,Not Fraud,M,41,Married,Other
14362,Not Fraud,M,41,Married,Other
14363,Not Fraud,M,41,Married,Other
14364,Not Fraud,F,34,Married,Other
14365,Not Fraud,F,34,Married,Other
14366,Not Fraud,F,34,Married,Other
14367,Not Fraud,F,34,Married,Other
14368,Not Fraud,F,32,Married,Professional
14369,Not Fraud,F,32,Married,Professional
14370,Not Fraud,F,32,Married,Professional
14371,Not Fraud,F,32,Married,Professional
14372,Not Fraud,F,23,Single,Retail
14373,Not Fraud,F,23,Single,Retail
14374,Not Fraud,M,33,Single,Professional
14375,Not Fraud,M,33,Single,Professional
14376,Not Fraud,F,41,Married,Other
14377,Fraud,F,41,Married,Other
14378,Not Fraud,F,41,Married,Other
14379,Fraud,F,41,Married,Other
14380,Not Fraud,F,39,Married,Executive
14381,Not Fraud,F,39,Married,Executive
14382,Not Fraud,F,39,Married,Executive
14383,Not Fraud,F,36,Married,Executive
14384,Not Fraud,F,36,Married,Executive
14385,Not Fraud,M,34,Married,Other
14386,Not Fraud,M,34,Married,Other
14387,Not Fraud,M,34,Married,Other
14388,Not Fraud,F,19,Single,Professional
14389,Not Fraud,F,19,Single,Professional
14390,Not Fraud,M,26,Single,Other
14391,Not Fraud,M,26,Single,Other
14392,Not Fraud,M,26,Single,Other
14393,Not Fraud,M,26,Single,Other
14394,Not Fraud,F,22,Single,Retail
14395,Not Fraud,F,64,Married,Other
14396,Not Fraud,F,64,Married,Other
14397,Not Fraud,F,64,Married,Other
14398,Fraud,F,64,Married,Other
14399,Not Fraud,M,41,Married,Executive
14400,Not Fraud,M,41,Married,Executive
14401,Not Fraud,M,41,Married,Executive
14402,Not Fraud,F,43,Married,Retired
14403,Not Fraud,F,43,Married,Retired
14404,Not Fraud,M,34,Married,Professional
14405,Not Fraud,M,34,Married,Professional
14406,Not Fraud,M,49,Married,Professional
14407,Not Fraud,M,49,Married,Professional
14408,Not Fraud,M,49,Married,Professional
14409,Refer to Agent,F,53,Married,Other
14410,Refer to Agent,F,53,Married,Other
14411,Not Fraud,F,31,Married,Other
14412,Not Fraud,F,31,Married,Other
14413,Not Fraud,F,26,Single,Other
14414,Not Fraud,F,26,Single,Other
14415,Not Fraud,M,26,Single,Sales
14416,Not Fraud,M,26,Single,Sales
14417,Not Fraud,M,26,Single,Sales
14418,Not Fraud,M,28,Single,Executive
14419,Not Fraud,M,28,Single,Executive
14420,Not Fraud,M,28,Single,Executive
14421,Not Fraud,M,28,Single,Executive
14422,Not Fraud,M,35,Married,Sales
14423,Not Fraud,M,35,Married,Sales
14424,Not Fraud,M,35,Married,Sales
14425,Not Fraud,F,60,Unspecified,Hospitality
14426,Not Fraud,F,60,Unspecified,Hospitality
14427,Fraud,F,60,Unspecified,Hospitality
14428,Not Fraud,M,28,Single,Trades
14429,Not Fraud,M,28,Single,Trades
14430,Not Fraud,M,28,Single,Trades
14431,Not Fraud,F,32,Married,Other
14432,Not Fraud,F,32,Married,Other
14433,Fraud,F,32,Married,Other
14434,Refer to Agent,M,57,Unspecified,Other
14435,Refer to Agent,M,57,Unspecified,Other
14436,Refer to Agent,M,57,Unspecified,Other
14437,Not Fraud,F,33,Married,Other
14438,Not Fraud,F,33,Married,Other
14439,Not Fraud,F,33,Married,Other
14440,Not Fraud,F,33,Married,Other
14441,Not Fraud,F,33,Married,Other
14442,Fraud,F,33,Married,Other
14443,Not Fraud,M,26,Married,Other
14444,Not Fraud,M,26,Married,Other
14445,Not Fraud,M,26,Married,Other
14446,Not Fraud,M,26,Married,Other
14447,Not Fraud,M,26,Married,Other
14448,Not Fraud,F,54,Unspecified,Hospitality
14449,Not Fraud,F,54,Unspecified,Hospitality
14450,Fraud,F,54,Unspecified,Hospitality
14451,Fraud,F,54,Unspecified,Hospitality
14452,Not Fraud,F,26,Single,Student
14453,Not Fraud,F,26,Single,Student
14454,Refer to Agent,M,42,Married,Other
14455,Refer to Agent,M,42,Married,Other
14456,Refer to Agent,M,42,Married,Other
14457,Not Fraud,F,27,Single,Student
14458,Not Fraud,F,27,Single,Student
14459,Not Fraud,M,23,Single,Retail
14460,Not Fraud,M,23,Single,Retail
14461,Not Fraud,M,23,Single,Retail
14462,Not Fraud,F,32,Single,Professional
14463,Not Fraud,F,32,Single,Professional
14464,Not Fraud,M,34,Married,Sales
14465,Not Fraud,M,34,Married,Sales
14466,Not Fraud,M,34,Married,Sales
14467,Not Fraud,M,34,Married,Sales
14468,Not Fraud,F,29,Single,Professional
14469,Not Fraud,F,29,Single,Professional
14470,Not Fraud,F,29,Single,Professional
14471,Not Fraud,F,29,Single,Other
14472,Not Fraud,F,29,Single,Other
14473,Not Fraud,F,29,Single,Other
14474,Fraud,F,29,Single,Other
14475,Not Fraud,F,26,Married,Sales
14476,Not Fraud,F,26,Married,Sales
14477,Not Fraud,M,29,Married,Sales
14478,Not Fraud,M,29,Married,Sales
14479,Not Fraud,M,29,Married,Sales
14480,Not Fraud,F,47,Unspecified,Hospitality
14481,Not Fraud,F,47,Unspecified,Hospitality
14482,Not Fraud,F,27,Single,Other
14483,Not Fraud,F,27,Single,Other
14484,Not Fraud,F,27,Single,Other
14485,Not Fraud,F,27,Single,Other
14486,Not Fraud,F,30,Married,Executive
14487,Not Fraud,F,30,Married,Executive
14488,Not Fraud,M,28,Married,Sales
14489,Not Fraud,M,28,Married,Sales
14490,Not Fraud,M,28,Married,Sales
14491,Not Fraud,M,28,Married,Sales
14492,Not Fraud,M,32,Single,Professional
14493,Not Fraud,M,32,Single,Professional
14494,Not Fraud,M,32,Single,Professional
14495,Not Fraud,M,32,Single,Professional
14496,Not Fraud,M,32,Single,Professional
14497,Not Fraud,M,32,Single,Professional
14498,Not Fraud,M,36,Married,Sales
14499,Not Fraud,M,36,Married,Sales
14500,Not Fraud,M,36,Married,Sales
14501,Refer to Agent,F,30,Married,Other
14502,Refer to Agent,F,30,Married,Other
14503,Refer to Agent,F,30,Married,Other
14504,Not Fraud,F,48,Married,Professional
14505,Not Fraud,F,48,Married,Professional
14506,Not Fraud,M,22,Single,Trades
14507,Not Fraud,M,22,Single,Trades
14508,Not Fraud,M,22,Single,Trades
14509,Not Fraud,M,22,Single,Trades
14510,Not Fraud,M,25,Single,Sales
14511,Not Fraud,M,25,Single,Sales
14512,Not Fraud,M,37,Married,Other
14513,Not Fraud,M,37,Married,Other
14514,Not Fraud,M,35,Single,Professional
14515,Not Fraud,M,35,Single,Professional
14516,Not Fraud,M,35,Single,Professional
14517,Not Fraud,M,35,Single,Professional
14518,Not Fraud,M,35,Single,Professional
14519,Not Fraud,M,24,Single,Professional
14520,Not Fraud,M,24,Single,Professional
14521,Not Fraud,M,24,Single,Professional
14522,Not Fraud,M,24,Single,Professional
14523,Not Fraud,M,49,Married,Other
14524,Not Fraud,M,49,Married,Other
14525,Not Fraud,M,28,Married,Sales
14526,Not Fraud,M,28,Married,Sales
14527,Not Fraud,M,28,Married,Sales
14528,Not Fraud,M,28,Married,Sales
14529,Not Fraud,M,28,Married,Sales
14530,Not Fraud,M,28,Married,Sales
14531,Not Fraud,F,20,Married,Retail
14532,Not Fraud,F,20,Married,Retail
14533,Not Fraud,M,26,Single,Other
14534,Not Fraud,M,26,Single,Other
14535,Not Fraud,M,26,Single,Other
14536,Not Fraud,M,26,Single,Other
14537,Not Fraud,M,24,Single,Executive
14538,Not Fraud,M,24,Single,Executive
14539,Not Fraud,M,24,Single,Executive
14540,Not Fraud,M,24,Single,Executive
14541,Not Fraud,F,48,Married,Executive
14542,Not Fraud,F,48,Married,Executive
14543,Not Fraud,F,48,Married,Executive
14544,Not Fraud,F,49,Unspecified,Hospitality
14545,Not Fraud,F,49,Unspecified,Hospitality
14546,Not Fraud,F,49,Unspecified,Hospitality
14547,Fraud,F,49,Unspecified,Hospitality
14548,Not Fraud,F,23,Single,Professional
14549,Not Fraud,F,23,Single,Professional
14550,Not Fraud,M,21,Single,Sales
14551,Not Fraud,M,21,Single,Sales
14552,Not Fraud,F,23,Single,Other
14553,Not Fraud,F,23,Single,Other
14554,Not Fraud,F,23,Single,Other
14555,Not Fraud,F,23,Single,Other
14556,Not Fraud,F,23,Single,Other
14557,Not Fraud,F,33,Married,Executive
14558,Not Fraud,F,33,Married,Executive
14559,Fraud,F,33,Married,Executive
14560,Not Fraud,F,33,Married,Executive
14561,Not Fraud,F,33,Married,Executive
14562,Not Fraud,M,26,Single,Other
14563,Not Fraud,M,26,Single,Other
14564,Not Fraud,F,48,Married,Retail
14565,Not Fraud,F,48,Married,Retail
14566,Not Fraud,F,48,Married,Retail
14567,Not Fraud,F,26,Married,Executive
14568,Not Fraud,F,26,Married,Executive
14569,Not Fraud,F,31,Married,Other
14570,Fraud,F,31,Married,Other
14571,Not Fraud,F,31,Married,Other
14572,Not Fraud,M,38,Single,Other
